Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GIS,Chrome 107.0.0.0,,,2022-11-04 03:24:17,2022-11-04 03:24:47,29.699s,PASSED
,,,,,,,
Test Cases/GiS/Layers/PCI_SCI-Average,Chrome 107.0.0.0,Validating PCI average with DB,,2022-11-04 03:24:17,2022-11-04 03:24:47,29.502s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-04 03:24:18,2022-11-04 03:24:20,2.500s,PASSED
"navigateToUrl(""https://streetlogix-gis-slx4-develop.vercel.app/?config=64077fc938af4bcc9a46a81d8f4e5576&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MTAzNCwibmFtZSI6IkRldiBBZG1pbiIsImV4cCI6MTY2OTU0MDgyMCwiaWF0IjoxNjY2OTQ4ODIwfQ.w-iq7wbAlmfMe9sHyl70AOz0p1ihfpW_aCdALecM0is"")",Chrome 107.0.0.0,,,2022-11-04 03:24:20,2022-11-04 03:24:23,3.229s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/img_Search_rail-icon""))",Chrome 107.0.0.0,,,2022-11-04 03:24:23,2022-11-04 03:24:28,4.486s,PASSED
"pci = getText(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/h6_Pavement Average Condition 66""))",Chrome 107.0.0.0,,,2022-11-04 03:24:28,2022-11-04 03:24:30,1.879s,PASSED
"pciAvg = pci.replaceAll(""[^0-9]"", """")",Chrome 107.0.0.0,,,2022-11-04 03:24:30,2022-11-04 03:24:30,0.009s,PASSED
avgPCI = database_keywords.test.Database_Keywords.getAveragePCI(),Chrome 107.0.0.0,,,2022-11-04 03:24:30,2022-11-04 03:24:41,11.207s,PASSED
println(avgPCI),Chrome 107.0.0.0,,,2022-11-04 03:24:41,2022-11-04 03:24:41,0.002s,PASSED
"verifyMatch(pciAvg, avgPCI, false)",Chrome 107.0.0.0,,,2022-11-04 03:24:41,2022-11-04 03:24:41,0.014s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Length 2,148 miles""))",Chrome 107.0.0.0,,,2022-11-04 03:24:41,2022-11-04 03:24:42,0.534s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Backlog  369,246,021""))",Chrome 107.0.0.0,,,2022-11-04 03:24:42,2022-11-04 03:24:42,0.445s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/svg_Pavement Average Condition 66_MuiSvgIco_68ffe8""))",Chrome 107.0.0.0,,,2022-11-04 03:24:42,2022-11-04 03:24:43,0.497s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-04 03:24:43,2022-11-04 03:24:46,3.012s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/h6_Sidewalk Average Condition 54""))",Chrome 107.0.0.0,,,2022-11-04 03:24:46,2022-11-04 03:24:46,0.295s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Length 1,868 miles""))",Chrome 107.0.0.0,,,2022-11-04 03:24:46,2022-11-04 03:24:46,0.455s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Backlog  577,330""))",Chrome 107.0.0.0,,,2022-11-04 03:24:46,2022-11-04 03:24:47,0.423s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-04 03:24:47,2022-11-04 03:24:47,0.161s,PASSED
