Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GIS,Chrome 107.0.0.0,,,2022-11-04 03:29:03,2022-11-04 03:47:09,18m - 5.998s,ERROR
,,,,,,,
Test Cases/GiS/Work order/Work_order_Yearly,Chrome 107.0.0.0,,,2022-11-04 03:29:03,2022-11-04 03:31:06,2m - 3.414s,ERROR
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-04 03:29:03,2022-11-04 03:29:06,2.635s,PASSED
"navigateToUrl(""https://streetlogix-gis-slx4-develop.vercel.app/?config=64077fc938af4bcc9a46a81d8f4e5576&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MTAzNCwibmFtZSI6IkRldiBBZG1pbiIsImV4cCI6MTY2OTU0MDgyMCwiaWF0IjoxNjY2OTQ4ODIwfQ.w-iq7wbAlmfMe9sHyl70AOz0p1ihfpW_aCdALecM0is"")",Chrome 107.0.0.0,,,2022-11-04 03:29:06,2022-11-04 03:29:08,2.268s,PASSED
countBefore = database_keywords.test.Database_Keywords.getWorkOrdersCount(),Chrome 107.0.0.0,,,2022-11-04 03:29:08,2022-11-04 03:29:36,28.130s,PASSED
println(countBefore),Chrome 107.0.0.0,,,2022-11-04 03:29:36,2022-11-04 03:29:36,0.002s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/WO icon""))",Chrome 107.0.0.0,,,2022-11-04 03:29:36,2022-11-04 03:29:37,0.478s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Group Dropdown""))",Chrome 107.0.0.0,,,2022-11-04 03:29:37,2022-11-04 03:29:42,5.450s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Bridge Inspection""))",Chrome 107.0.0.0,,,2022-11-04 03:29:42,2022-11-04 03:29:43,0.718s,PASSED
"setText(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Filter by form name_standard-full-width""), ""Bridge maintenance"")",Chrome 107.0.0.0,,,2022-11-04 03:29:43,2022-11-04 03:29:45,2.504s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Bridge Maintenance""))",Chrome 107.0.0.0,,,2022-11-04 03:29:45,2022-11-04 03:29:46,0.714s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Select Assignee_assignee-autocomplete""))",Chrome 107.0.0.0,,,2022-11-04 03:29:46,2022-11-04 03:29:48,1.635s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_ami  admin""))",Chrome 107.0.0.0,,,2022-11-04 03:29:48,2022-11-04 03:29:48,0.608s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Collaborators_collaborators-autocomplete""))",Chrome 107.0.0.0,,,2022-11-04 03:29:48,2022-11-04 03:29:49,0.758s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_ami  admin""))",Chrome 107.0.0.0,,,2022-11-04 03:29:49,2022-11-04 03:29:49,0.480s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/h6_Bridge Maintenance""))",Chrome 107.0.0.0,,,2022-11-04 03:29:49,2022-11-04 03:29:50,0.600s,PASSED
