Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GIS,Firefox 106.0,,,2022-11-04 03:24:27,2022-11-04 03:29:31,5m - 4.847s,PASSED
,,,,,,,
Test Cases/GiS/Layers/PCI_SCI-Average,Firefox 106.0,Validating PCI average with DB,,2022-11-04 03:24:27,2022-11-04 03:29:31,5m - 4.639s,PASSED
"openBrowser("""")",Firefox 106.0,,,2022-11-04 03:24:27,2022-11-04 03:24:35,7.962s,PASSED
"navigateToUrl(""https://streetlogix-gis-slx4-develop.vercel.app/?config=64077fc938af4bcc9a46a81d8f4e5576&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MTAzNCwibmFtZSI6IkRldiBBZG1pbiIsImV4cCI6MTY2OTU0MDgyMCwiaWF0IjoxNjY2OTQ4ODIwfQ.w-iq7wbAlmfMe9sHyl70AOz0p1ihfpW_aCdALecM0is"")",Firefox 106.0,,,2022-11-04 03:24:35,2022-11-04 03:24:41,6.275s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/img_Search_rail-icon""))",Firefox 106.0,,,2022-11-04 03:24:41,2022-11-04 03:24:48,6.396s,PASSED
"pci = getText(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/h6_Pavement Average Condition 66""))",Firefox 106.0,,,2022-11-04 03:24:48,2022-11-04 03:24:53,4.866s,PASSED
"pciAvg = pci.replaceAll(""[^0-9]"", """")",Firefox 106.0,,,2022-11-04 03:24:53,2022-11-04 03:24:53,0.004s,PASSED
avgPCI = database_keywords.test.Database_Keywords.getAveragePCI(),Firefox 106.0,,,2022-11-04 03:24:53,2022-11-04 03:29:24,4m - 31.422s,PASSED
println(avgPCI),Firefox 106.0,,,2022-11-04 03:29:24,2022-11-04 03:29:24,0.003s,PASSED
"verifyMatch(pciAvg, avgPCI, false)",Firefox 106.0,,,2022-11-04 03:29:24,2022-11-04 03:29:24,0.016s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Length 2,148 miles""))",Firefox 106.0,,,2022-11-04 03:29:24,2022-11-04 03:29:25,0.523s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Backlog  369,246,021""))",Firefox 106.0,,,2022-11-04 03:29:25,2022-11-04 03:29:25,0.479s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/svg_Pavement Average Condition 66_MuiSvgIco_68ffe8""))",Firefox 106.0,,,2022-11-04 03:29:25,2022-11-04 03:29:25,0.490s,PASSED
delay(3),Firefox 106.0,,,2022-11-04 03:29:25,2022-11-04 03:29:28,3.013s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/h6_Sidewalk Average Condition 54""))",Firefox 106.0,,,2022-11-04 03:29:28,2022-11-04 03:29:29,0.820s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Length 1,868 miles""))",Firefox 106.0,,,2022-11-04 03:29:29,2022-11-04 03:29:30,0.583s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Backlog  577,330""))",Firefox 106.0,,,2022-11-04 03:29:30,2022-11-04 03:29:30,0.587s,PASSED
closeBrowser(),Firefox 106.0,,,2022-11-04 03:29:30,2022-11-04 03:29:31,0.936s,PASSED
