Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GIS,Firefox 106.0,,,2022-11-04 02:37:30,2022-11-04 02:43:34,6m - 4.022s,PASSED
,,,,,,,
Test Cases/GiS/Layers/PCI_SCI-Average,Firefox 106.0,Validating PCI average with DB,,2022-11-04 02:37:30,2022-11-04 02:43:34,6m - 3.815s,PASSED
"openBrowser("""")",Firefox 106.0,,,2022-11-04 02:37:30,2022-11-04 02:37:35,5.234s,PASSED
"navigateToUrl(""https://streetlogix-gis-slx4-develop.vercel.app/?config=64077fc938af4bcc9a46a81d8f4e5576&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MTAzNCwibmFtZSI6IkRldiBBZG1pbiIsImV4cCI6MTY2OTU0MDgyMCwiaWF0IjoxNjY2OTQ4ODIwfQ.w-iq7wbAlmfMe9sHyl70AOz0p1ihfpW_aCdALecM0is"")",Firefox 106.0,,,2022-11-04 02:37:35,2022-11-04 02:38:07,31.776s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/img_Search_rail-icon""))",Firefox 106.0,,,2022-11-04 02:38:07,2022-11-04 02:38:13,6.418s,PASSED
"pci = getText(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/h6_Pavement Average Condition 66""))",Firefox 106.0,,,2022-11-04 02:38:13,2022-11-04 02:38:16,2.428s,PASSED
"pciAvg = pci.replaceAll(""[^0-9]"", """")",Firefox 106.0,,,2022-11-04 02:38:16,2022-11-04 02:38:16,0.002s,PASSED
avgPCI = database_keywords.test.Database_Keywords.getAveragePCI(),Firefox 106.0,,,2022-11-04 02:38:16,2022-11-04 02:43:16,5m - 0.517s,PASSED
println(avgPCI),Firefox 106.0,,,2022-11-04 02:43:16,2022-11-04 02:43:16,0.003s,PASSED
"verifyMatch(pciAvg, avgPCI, false)",Firefox 106.0,,,2022-11-04 02:43:16,2022-11-04 02:43:16,0.012s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Length 2,148 miles""))",Firefox 106.0,,,2022-11-04 02:43:16,2022-11-04 02:43:19,2.774s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Backlog  369,246,021""))",Firefox 106.0,,,2022-11-04 02:43:19,2022-11-04 02:43:21,2.030s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/svg_Pavement Average Condition 66_MuiSvgIco_68ffe8""))",Firefox 106.0,,,2022-11-04 02:43:21,2022-11-04 02:43:23,2.065s,PASSED
delay(3),Firefox 106.0,,,2022-11-04 02:43:23,2022-11-04 02:43:26,3.012s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/h6_Sidewalk Average Condition 54""))",Firefox 106.0,,,2022-11-04 02:43:26,2022-11-04 02:43:29,2.799s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Length 1,868 miles""))",Firefox 106.0,,,2022-11-04 02:43:29,2022-11-04 02:43:31,2.018s,PASSED
"click(findTestObject(""Object Repository/Layers/PCI_SCI_Obj/p_Total Backlog  577,330""))",Firefox 106.0,,,2022-11-04 02:43:31,2022-11-04 02:43:33,2.031s,PASSED
closeBrowser(),Firefox 106.0,,,2022-11-04 02:43:33,2022-11-04 02:43:34,0.468s,PASSED
