Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GIS,Firefox 106.0,,,2022-11-04 03:29:12,2022-11-04 03:42:05,12m - 53.922s,ERROR
,,,,,,,
Test Cases/GiS/Work order/Work_order_Yearly,Firefox 106.0,,,2022-11-04 03:29:12,2022-11-04 03:30:45,1m - 32.921s,ERROR
"openBrowser("""")",Firefox 106.0,,,2022-11-04 03:29:12,2022-11-04 03:29:18,5.938s,PASSED
"navigateToUrl(""https://streetlogix-gis-slx4-develop.vercel.app/?config=64077fc938af4bcc9a46a81d8f4e5576&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MTAzNCwibmFtZSI6IkRldiBBZG1pbiIsImV4cCI6MTY2OTU0MDgyMCwiaWF0IjoxNjY2OTQ4ODIwfQ.w-iq7wbAlmfMe9sHyl70AOz0p1ihfpW_aCdALecM0is"")",Firefox 106.0,,,2022-11-04 03:29:18,2022-11-04 03:29:21,3.049s,PASSED
countBefore = database_keywords.test.Database_Keywords.getWorkOrdersCount(),Firefox 106.0,,,2022-11-04 03:29:21,2022-11-04 03:29:32,10.588s,PASSED
println(countBefore),Firefox 106.0,,,2022-11-04 03:29:32,2022-11-04 03:29:32,0.009s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/WO icon""))",Firefox 106.0,,,2022-11-04 03:29:32,2022-11-04 03:29:33,0.887s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Group Dropdown""))",Firefox 106.0,,,2022-11-04 03:29:33,2022-11-04 03:29:42,9.161s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Bridge Inspection""))",Firefox 106.0,,,2022-11-04 03:29:42,2022-11-04 03:29:42,0.731s,PASSED
"setText(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Filter by form name_standard-full-width""), ""Bridge maintenance"")",Firefox 106.0,,,2022-11-04 03:29:42,2022-11-04 03:29:45,2.231s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Bridge Maintenance""))",Firefox 106.0,,,2022-11-04 03:29:45,2022-11-04 03:29:46,0.847s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Select Assignee_assignee-autocomplete""))",Firefox 106.0,,,2022-11-04 03:29:46,2022-11-04 03:29:47,1.859s,PASSED
