Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GIS,Chrome 110.0.0.0,,,2023-02-15 16:36:57,2023-02-15 16:48:57,12m - 0.711s,FAILED
,,,,,,,
Test Cases/GiS/Work order/Work_order_Yearly,Chrome 110.0.0.0,,,2023-02-15 16:36:57,2023-02-15 16:38:05,1m - 8.031s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-02-15 16:36:57,2023-02-15 16:37:00,2.598s,PASSED
"navigateToUrl(""https://streetlogix-gis-slx4-develop.vercel.app/?config=64077fc938af4bcc9a46a81d8f4e5576&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6OTc2LCJuYW1lIjoiU29oYWliIE5laGFsIiwiZXhwIjoxNjc4NzI5ODk0LCJpYXQiOjE2NzYxMzc4OTR9.UHfOiNtJ_le0VZsenXiPbH0qUWaL-Iey0ptbA6Kalco"")",Chrome 110.0.0.0,,,2023-02-15 16:37:00,2023-02-15 16:37:05,5.159s,PASSED
countBefore = database_keywords.test.Database_Keywords.getWorkOrdersCount(),Chrome 110.0.0.0,,,2023-02-15 16:37:05,2023-02-15 16:37:12,6.747s,PASSED
println(countBefore),Chrome 110.0.0.0,,,2023-02-15 16:37:12,2023-02-15 16:37:12,0.008s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/WO icon""))",Chrome 110.0.0.0,,,2023-02-15 16:37:12,2023-02-15 16:37:15,3.740s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Group Dropdown""))",Chrome 110.0.0.0,,,2023-02-15 16:37:15,2023-02-15 16:37:18,2.140s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Bridge Inspection""))",Chrome 110.0.0.0,,,2023-02-15 16:37:18,2023-02-15 16:37:26,8.613s,PASSED
"setText(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Filter by form name_standard-full-width""), ""Bridge maintenance"")",Chrome 110.0.0.0,,,2023-02-15 16:37:26,2023-02-15 16:37:30,3.329s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Bridge Maintenance""))",Chrome 110.0.0.0,,,2023-02-15 16:37:30,2023-02-15 16:37:30,0.736s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Select Assignee_assignee-autocomplete""))",Chrome 110.0.0.0,,,2023-02-15 16:37:30,2023-02-15 16:37:32,1.915s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_ami  admin""))",Chrome 110.0.0.0,,,2023-02-15 16:37:32,2023-02-15 16:37:33,0.715s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Collaborators_collaborators-autocomplete""))",Chrome 110.0.0.0,,,2023-02-15 16:37:33,2023-02-15 16:37:34,0.685s,PASSED
